"dataset","p_interaction","ladder_step","still_failed"
81,1.90643678545179e-10,"glmer, task and run intercepts",FALSE
82,4.88720710731157e-10,"glmer, task and run intercepts",FALSE
83,4.50359474227921e-14,"glmer, task and run intercepts",FALSE
84,1.21402285446447e-11,"glmer, task and run intercepts",FALSE
85,5.87363519483313e-09,"glmer, task and run intercepts",FALSE
86,3.84637256229992e-15,"glmer, task and run intercepts",FALSE
87,4.86030140720398e-13,"glmer, task and run intercepts",FALSE
88,3.96461188016436e-12,"glmer, task and run intercepts",FALSE
89,1.13933628385982e-12,"glmer, task and run intercepts",FALSE
90,4.68125671543002e-13,"glmer, task and run intercepts",FALSE
91,5.52723158661922e-08,"glmer, task and run intercepts",FALSE
92,8.51119873937264e-09,"glmer, task and run intercepts",FALSE
93,3.58303198528276e-13,"glmer, task and run intercepts",FALSE
94,8.22052666936933e-10,"glmer, task and run intercepts",FALSE
95,3.08326365845858e-16,"glmer, task and run intercepts",FALSE
96,7.09023128336626e-10,"glmer, task and run intercepts",FALSE
97,1.66297517276213e-15,"glmer, task and run intercepts",FALSE
98,1.51188382684965e-10,"glmer, task and run intercepts",FALSE
99,1.39562629783094e-10,"glmer, task and run intercepts",FALSE
100,3.08180399547518e-17,"glmer, task and run intercepts",FALSE
101,4.72986639219244e-12,"glmer, task and run intercepts",FALSE
102,1.82535004587278e-11,"glmer, task and run intercepts",FALSE
103,2.97039344359179e-08,"glmer, task and run intercepts",FALSE
104,3.78994860034398e-13,"glmer, task and run intercepts",FALSE
105,5.12973600969838e-13,"glmer, task and run intercepts",FALSE
106,2.13295813610746e-14,"glmer, task and run intercepts",FALSE
107,1.17510062603176e-08,"glmer, task and run intercepts",FALSE
108,4.18436050384758e-12,"glmer, task and run intercepts",FALSE
109,4.87328976748839e-08,"glmer, task and run intercepts",FALSE
110,4.14789502477969e-08,"glmer, task and run intercepts",FALSE
111,8.24815486490169e-12,"glmer, task and run intercepts",FALSE
112,1.25158295031403e-16,"glmer, task and run intercepts",FALSE
113,6.61858546347793e-07,"glmer, task and run intercepts",FALSE
114,2.79256347457205e-16,"glmer, task and run intercepts",FALSE
115,1.04143394515495e-12,"glmer, task and run intercepts",FALSE
116,2.25227436668071e-15,"glmer, task and run intercepts",FALSE
117,1.90195487223457e-12,"glmer, task and run intercepts",FALSE
118,1.42889075894246e-12,"glmer, task and run intercepts",FALSE
119,8.56182962606164e-12,"glmer, task and run intercepts",FALSE
120,4.43787653030609e-11,"glmer, task and run intercepts",FALSE
121,5.47669842354564e-13,"glmer, task and run intercepts",FALSE
122,1.09512455336132e-09,"glmer, task and run intercepts",FALSE
123,2.27296422356005e-17,"glmer, task and run intercepts",FALSE
124,1.6875073559156e-11,"glmer, task and run intercepts",FALSE
125,4.21586375865336e-14,"glmer, task and run intercepts",FALSE
126,1.68218245604732e-09,"glmer, task and run intercepts",FALSE
127,1.44607844875137e-15,"glmer, task and run intercepts",FALSE
128,5.51151011870558e-08,"glmer, task and run intercepts",FALSE
129,2.72309378432737e-15,"glmer, task and run intercepts",FALSE
130,3.04252029458283e-07,"glmer, task and run intercepts",FALSE
131,2.34275405026473e-07,"glmer, task and run intercepts",FALSE
132,2.99482155089541e-14,"glmer, task and run intercepts",FALSE
133,1.12555005128076e-12,"glmer, task and run intercepts",FALSE
134,1.49352312931693e-06,"glmer, task and run intercepts",FALSE
135,3.8082647737128e-13,"glmer, task and run intercepts",FALSE
136,1.52908841768475e-15,"glmer, task and run intercepts",FALSE
137,3.8416937951333e-06,"glmer, task and run intercepts",FALSE
138,1.56704727253931e-10,"glmer, task and run intercepts",FALSE
139,5.14611591845015e-12,"glmer, task and run intercepts",FALSE
140,1.58975166982234e-12,"glmer, task and run intercepts",FALSE
141,3.10802040959205e-14,"glmer, task and run intercepts",FALSE
142,1.80881674126801e-11,"glmer, task and run intercepts",FALSE
143,1.19635200925636e-17,"glmer, task and run intercepts",FALSE
144,3.67128342559027e-16,"glmer, task and run intercepts",FALSE
145,2.00073791771131e-08,"glmer, task and run intercepts",FALSE
146,1.54515372250272e-14,"glmer, task and run intercepts",FALSE
147,2.27304559446158e-10,"glmer, task and run intercepts",FALSE
148,5.73439418977509e-12,"glmer, task and run intercepts",FALSE
149,2.84806417635247e-16,"glmer, task and run intercepts",FALSE
150,3.21271171731583e-12,"glmer, task and run intercepts",FALSE
151,3.47980051858911e-12,"glmer, task and run intercepts",FALSE
152,4.58012529392874e-17,"glmer, task and run intercepts",FALSE
153,1.56836742403433e-17,"glmer, task and run intercepts",FALSE
154,5.05771366951364e-13,"glmer, task and run intercepts",FALSE
155,3.10880900308187e-12,"glmer, task and run intercepts",FALSE
156,5.86785983605724e-16,"glmer, task and run intercepts",FALSE
157,9.84534300382634e-14,"glmer, task and run intercepts",FALSE
158,2.36584416028072e-14,"glmer, task and run intercepts",FALSE
159,1.03684451059736e-14,"glmer, task and run intercepts",FALSE
160,5.39266272130791e-11,"glmer, task and run intercepts",FALSE
161,3.39702606502352e-17,"glmer, task and run intercepts",FALSE
162,3.9894580738026e-10,"glmer, task and run intercepts",FALSE
163,3.00653670720105e-12,"glmer, task and run intercepts",FALSE
164,5.73495781873634e-18,"glmer, task and run intercepts",FALSE
165,4.75851685593669e-12,"glmer, task and run intercepts",FALSE
166,4.04421124590148e-13,"glmer, task and run intercepts",FALSE
167,5.28703968224199e-10,"glmer, task and run intercepts",FALSE
168,2.02146152831881e-13,"glmer, task and run intercepts",FALSE
169,1.39088253133686e-14,"glmer, task and run intercepts",FALSE
170,2.97803637241553e-10,"glmer, task and run intercepts",FALSE
171,9.1870200392548e-07,"glmer, task and run intercepts",FALSE
172,2.34004395636931e-13,"glmer, task and run intercepts",FALSE
173,3.82251164875411e-13,"glmer, task and run intercepts",FALSE
174,4.37992561450242e-11,"glmer, task and run intercepts",FALSE
175,4.05339803172966e-09,"glmer, task and run intercepts",FALSE
176,1.20750181797588e-07,"glmer, task and run intercepts",FALSE
177,9.08626072396064e-12,"glmer, task and run intercepts",FALSE
178,5.97332108063065e-09,"glmer, task and run intercepts",FALSE
179,4.40430020098861e-08,"glmer, task and run intercepts",FALSE
180,4.77207903358202e-06,"glmer, task and run intercepts",FALSE
181,3.7386815653495e-15,"glmer, task and run intercepts",FALSE
182,1.49079467055537e-11,"glmer, task and run intercepts",FALSE
183,3.95296139144049e-12,"glmer, task and run intercepts",FALSE
184,2.15790144434511e-13,"glmer, task and run intercepts",FALSE
185,4.29597962035092e-11,"glmer, task and run intercepts",FALSE
186,8.71922608412278e-14,"glmer, task and run intercepts",FALSE
187,1.5147873987939e-13,"glmer, task and run intercepts",FALSE
188,5.34821990801063e-13,"glmer, task and run intercepts",FALSE
189,3.98376385413836e-09,"glmer, task and run intercepts",FALSE
190,6.9099392077533e-09,"glmer, task and run intercepts",FALSE
191,1.54055669138388e-09,"glmer, task and run intercepts",FALSE
192,1.17420190263506e-10,"glmer, task and run intercepts",FALSE
193,4.24771492827678e-11,"glmer, task and run intercepts",FALSE
194,7.63665512072011e-10,"glmer, task and run intercepts",FALSE
195,9.28429267857345e-10,"glmer, task and run intercepts",FALSE
196,2.71416266548925e-09,"glmer, task and run intercepts",FALSE
197,3.94551889129168e-12,"glmer, task and run intercepts",FALSE
198,2.42945542476452e-12,"glmer, task and run intercepts",FALSE
199,1.2263775036458e-09,"glmer, task and run intercepts",FALSE
