run_id,task_id,fault_type,fault_class,hook_tool,k,k_bin,n_steps,rel_pos,format,arm,auditor_role,sample_id,is_control,is_development,pred_step,true_step,exact,within3,pred_cat,true_cat,false_alarm,pointer_ok,parse_ok,too_long,tokens_in,tokens_out,bytes_record,prompt_hash,render_hash,model_tag,model_digest,ollama_version,think,num_ctx,seconds
3hop2__855821_467331_162182|clean,3hop2__855821_467331_162182,clean,none,,,,20,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,4052,283,12790,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,6e1d409dcdd3724b6dff34b41701a576af9ead19c4534c76fccdb545a2e7d857,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,16.91
3hop2__855821_467331_162182|clean,3hop2__855821_467331_162182,clean,none,,,,20,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,4068,225,12589,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,99f8802ba42c6a556db8b59d1ed91bf2c43b375aa5767b9a59285fe0bd0e5c36,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.91
3hop1__152880_131926_90707|clean,3hop1__152880_131926_90707,clean,none,,,,20,,log,lossless,second,0,1,0,18,,,,evidence,none,1,0,1,0,3013,273,9231,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,12d034c545aa95b2cbd651123690ad863c819a1219f109ea6c83bb32024ab88d,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.03
3hop1__152880_131926_90707|clean,3hop1__152880_131926_90707,clean,none,,,,20,,diff,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3903,189,12271,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,fa6ef59c6bd0d9aabba731cde25597bb07f6ab036278411ced56b61665e5742c,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.98
3hop1__152880_131926_90707|clean,3hop1__152880_131926_90707,clean,none,,,,20,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3924,149,12053,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,906db4c73bbc0d652d48a9feff18bc55e5608c779ffa78d6d902c8c042664ce0,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.25
4hop1__199362_765799_282674_759393|clean,4hop1__199362_765799_282674_759393,clean,none,,,,30,,log,lossless,second,0,1,0,28,,,,evidence,none,1,1,1,0,4383,175,13973,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,7eaf606490714d087bf268fcf2eadffd16fa146fe382f0823bcfd443a2d46b60,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.52
4hop1__199362_765799_282674_759393|clean,4hop1__199362_765799_282674_759393,clean,none,,,,30,,diff,lossless,second,0,1,0,28,,,,evidence,none,1,1,1,0,5580,194,17670,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,99fede8ccfb1aa4b40e4756273e245d0eeec62f9932140c0ba75dff6f022a20a,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,19.78
4hop1__199362_765799_282674_759393|clean,4hop1__199362_765799_282674_759393,clean,none,,,,30,,prov,lossless,second,0,1,0,28,,,,evidence,none,1,1,1,0,5603,150,17605,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,f779bff3e6ca416b16c507e21608ad62157abfb9a047eea79b34dbaa755d3174,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,19.34
3hop1__103180_214799_259594|clean,3hop1__103180_214799_259594,clean,none,,,,26,,log,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3717,135,11938,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,18439e6de66a52e3241f8836bdd4924c050efcb6b4d2d3b3190606981120b31e,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.26
3hop1__103180_214799_259594|clean,3hop1__103180_214799_259594,clean,none,,,,26,,diff,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,4851,153,15711,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,6d9ca780190c48195f41b4735ebb401c218932466d56ecab3421dde1185bb5a9,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,15.69
3hop1__103180_214799_259594|clean,3hop1__103180_214799_259594,clean,none,,,,26,,prov,lossless,second,0,1,0,24,,,,evidence,none,1,0,1,0,4819,225,15226,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,0007da6b49c23e94b2bbabb49836d6be85540484491f89098d870831680b9b10,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,18.47
3hop1__818422_160545_34751|clean,3hop1__818422_160545_34751,clean,none,,,,14,,log,lossless,second,0,1,0,6,,,,evidence,none,1,1,1,0,2153,230,5913,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,ebb27d7d32511cb70527e6029923a7061c1bc480ec13fff524e624cc36990adb,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.85
3hop1__818422_160545_34751|clean,3hop1__818422_160545_34751,clean,none,,,,14,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2740,131,7914,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,7960232df81454513f05aae49483f1d8c059a1bb7134042be59bf078a490bbcc,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,8.29
3hop1__818422_160545_34751|clean,3hop1__818422_160545_34751,clean,none,,,,14,,prov,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,2818,138,7925,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,a7d7aa542f9713f1082fb9bd0d7c0714c99689bc30e95c51d77f422f9311fdb0,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.04
3hop1__742780_567566_84283|clean,3hop1__742780_567566_84283,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,3343,245,10530,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,9874d5c4b10bb276dbedb9e11d32d192249083a1f784d90c599db4de85fd7807,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.56
3hop1__742780_567566_84283|clean,3hop1__742780_567566_84283,clean,none,,,,20,,diff,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,4445,202,14326,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,bc131c52cb6b8fe942f70b672c8de8bf838c017f274704e3d625124d57b7d035,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,15.5
3hop1__742780_567566_84283|clean,3hop1__742780_567566_84283,clean,none,,,,20,,prov,lossless,second,0,1,0,,,,,none,none,0,0,1,0,4268,164,13369,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,13039fa489f437d2496d95da295e8e7a85b681a560682ec17f836c5b075a34f9,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.5
3hop1__796649_720914_41132|clean,3hop1__796649_720914_41132,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,3094,147,8846,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,b94131fb07d10062cc746279c21deef10a7c6940496a5c0e29cb5c4cfa971331,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,10.4
3hop1__796649_720914_41132|clean,3hop1__796649_720914_41132,clean,none,,,,20,,diff,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,4080,139,11900,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,0f52390663847697965b42a076e776b0481963d74043405c0ec202a0c61767fe,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.45
3hop1__796649_720914_41132|clean,3hop1__796649_720914_41132,clean,none,,,,20,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,4009,185,11575,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,ade3ee9ead8a9e65e8b88bc5c85c71823ea80dbc9706ea7ec92ababbcec85df7,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.3
3hop1__273571_834494_34053|clean,3hop1__273571_834494_34053,clean,none,,,,14,,log,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2400,199,6365,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,8afc7a8d3c7c75896b95b450555147fd492848a250e9e497614ed89a801d7a1f,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.63
3hop1__273571_834494_34053|clean,3hop1__273571_834494_34053,clean,none,,,,14,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,3162,131,8612,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,2e8a59d0aaf832f9b2925972a17239750a16c83e584577e528e5fe6fea786220,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.71
3hop1__273571_834494_34053|clean,3hop1__273571_834494_34053,clean,none,,,,14,,prov,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,3051,176,8339,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,8fcf469c965effd43319570cdcd9328f9657ffed7e8eb36ffd892ee270695c17,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,10.81
3hop1__222497_309482_80702|clean,3hop1__222497_309482_80702,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,3295,196,9243,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,6da3cb06460f6fcd0a87ee4dac28a927d641e82dbd88522a883db99bb59d36e5,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.09
3hop1__222497_309482_80702|clean,3hop1__222497_309482_80702,clean,none,,,,20,,diff,lossless,second,0,1,0,8,,,,tool,none,1,1,1,0,4470,136,12973,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,8c8d4dccb8f2bfcd58755522262c263bd187e49a0861e9709a93e56bffeeacfd,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.36
3hop1__222497_309482_80702|clean,3hop1__222497_309482_80702,clean,none,,,,20,,prov,lossless,second,0,1,0,,,,,none,none,0,0,1,0,4198,211,11975,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,f9c34f63d831b5d5958b5f1be80db7aa7dbefa87506567220759665b6503d8a2,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.95
3hop1__337705_132457_47686|clean,3hop1__337705_132457_47686,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,2978,191,8987,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,c547b5c366330269e3d846fd23a5fc98ee5c20019d5b0b742cce043d1f5d7a26,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,11.4
3hop1__337705_132457_47686|clean,3hop1__337705_132457_47686,clean,none,,,,20,,diff,lossless,second,0,1,0,6,,,,evidence,none,1,0,1,0,3859,309,11888,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,160cccd79fe470a93f6a126239633e3d95d79f6ee6930de57feeb1e0c12b81c5,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,17.23
3hop1__337705_132457_47686|clean,3hop1__337705_132457_47686,clean,none,,,,20,,prov,lossless,second,0,1,0,20,,,,state,none,1,1,1,0,3904,218,11820,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,f0402ca0775e255678652fb39d0ffb8346a24c562b519d8df3978b468e4c0c0c,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,15.08
3hop1__389069_132457_51423|clean,3hop1__389069_132457_51423,clean,none,,,,26,,log,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3667,213,11161,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,ed77355cf4f35244af8f500604a88fe041257825e2c77c7c0fc6d516ab41b087,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.53
3hop1__389069_132457_51423|clean,3hop1__389069_132457_51423,clean,none,,,,26,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,4843,498,14939,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,af17e11d474b9c780d8a94e298350b42227f5c2572db855b733b881d90b6f205,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,26.56
3hop1__389069_132457_51423|clean,3hop1__389069_132457_51423,clean,none,,,,26,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,0,1,0,4799,265,14604,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,7e51879c4238aa302bc1ee8baa867ca4320b933ae8c4bef3e5c4da8e918dc925,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,19.52
3hop1__654651_55349_651302|clean,3hop1__654651_55349_651302,clean,none,,,,20,,log,lossless,second,0,1,0,18,,,,evidence,none,1,0,1,0,2982,227,8774,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,1650a3b044e31a20216d0c5a1a4c5dbf3c6e591a50c2b85240d68859db2a25b6,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.57
3hop1__654651_55349_651302|clean,3hop1__654651_55349_651302,clean,none,,,,20,,diff,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3870,148,11577,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,1bf5532452714bcb4f1de000651085b27f947ed8c1080e3924918cdd16868874,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.9
3hop1__654651_55349_651302|clean,3hop1__654651_55349_651302,clean,none,,,,20,,prov,lossless,second,0,1,0,,,,,none,none,0,0,1,0,3891,131,11437,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,3e4f34985a92f8c104cb89908766b5cced34c8fdc67259d25076b25e971b1b74,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.5
4hop1__608132_508773_85832_745702|clean,4hop1__608132_508773_85832_745702,clean,none,,,,26,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,3824,209,11737,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,0ba3068fecdc3af917464200ef45c1b0e5d6512996a325f3eb18586d09c578c1,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.82
4hop1__608132_508773_85832_745702|clean,4hop1__608132_508773_85832_745702,clean,none,,,,26,,diff,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,4989,124,15438,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,a109be38ddf03016e9aae2745cada9da3465a156d32d04a06cab82821e2fc99f,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,16.04
4hop1__608132_508773_85832_745702|clean,4hop1__608132_508773_85832_745702,clean,none,,,,26,,prov,lossless,second,0,1,0,26,,,,tool,none,1,1,1,0,5032,251,15398,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,777ca54be45977a461f3c0fa7c5af0b05ff3a6d554ecbae07d99a6ff8aae3b57,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,19.28
3hop1__273571_834494_34088|clean,3hop1__273571_834494_34088,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,2997,176,9191,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,8e6bc8a16cd1b80e76bc0a4e573dfa04b84332249cc04bd02d4071a9ac463bd3,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,11.14
3hop1__273571_834494_34088|clean,3hop1__273571_834494_34088,clean,none,,,,20,,diff,lossless,second,0,1,0,10,,,,tool,none,1,0,1,0,3828,367,11879,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,0606f0f6ab2257972d904f8ad18564b96cd9ec4fcef384807a06eb8425a1f9b0,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,18.94
3hop1__273571_834494_34088|clean,3hop1__273571_834494_34088,clean,none,,,,20,,prov,lossless,second,0,1,0,12,,,,evidence,none,1,1,1,0,3905,173,11960,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,9523a5a3c2db157e296dba80c7a35f26683be8797bd5f826b83f3377c3124fa3,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.94
3hop1__813285_774554_124169|clean,3hop1__813285_774554_124169,clean,none,,,,26,,log,lossless,second,0,1,0,18,,,,evidence,none,1,0,1,0,4014,200,12039,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,031fe6d36d2e622fca53889d5b95b1b8f371e8842fe356b42a6afe3043d78220,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.12
3hop1__813285_774554_124169|clean,3hop1__813285_774554_124169,clean,none,,,,26,,diff,lossless,second,0,1,0,,,,,,none,1,0,0,0,5333,1024,16360,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,db13ef22d2ed0bb2e7d0278732179fd5b377622180fb82b61d296b0c2bfb4bd3,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,44.97
3hop1__813285_774554_124169|clean,3hop1__813285_774554_124169,clean,none,,,,26,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,5160,200,15433,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,79dbe253da722297c0345290fb92e361ab572796a38ce1ac566380dbc910ce34,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,18.28
3hop1__131820_59747_60748|clean,3hop1__131820_59747_60748,clean,none,,,,14,,log,lossless,second,0,1,0,8,,,,tool,none,1,0,1,0,2350,98,6591,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,c2325e5f18daecd2b19973c85cb000fe9fb70d3e0aa088f6fe84c9f4f7635a0d,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,6.36
3hop1__131820_59747_60748|clean,3hop1__131820_59747_60748,clean,none,,,,14,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,3053,132,9043,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,c2b3f0c889d1f89f0e9828494722d5d057313cbe9fd3679abc9e3a01b4c46b99,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.12
